tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1
redundant36,17,uniform_half_2,N_x_original_shape,3-4:intermediate,568,25,True,0.9190140845070423,0.913284745177692
redundant36,17,uniform_half_2,N_x_original_shape,3-4:compact,66,17,False,0.8939393939393939,0.889658466682589
redundant36,17,uniform_half_2,N_x_original_shape,5-8:elongated,2275,26,True,0.9560439560439561,0.9479526041542744
redundant36,17,uniform_half_2,N_x_original_shape,5-8:intermediate,996,27,True,0.9186746987951807,0.9158333568068505
redundant36,17,uniform_half_2,N_x_original_shape,5-8:compact,121,18,True,0.9090909090909091,0.908991452991453
redundant36,17,uniform_half_2,N_x_original_shape,9-16:elongated,19967,27,True,0.9834226473681574,0.9809733090130395
redundant36,17,uniform_half_2,N_x_original_shape,9-16:intermediate,15866,27,True,0.9790117231816463,0.9780207067736288
redundant36,17,uniform_half_2,N_x_original_shape,9-16:compact,2111,22,True,0.9819990525817148,0.9676105677295984
redundant36,17,uniform_half_2,N_x_original_shape,17-32:elongated,14587,26,True,0.9935559059436484,0.9886050752904805
redundant36,17,uniform_half_2,N_x_original_shape,17-32:intermediate,10253,25,True,0.9789329952209109,0.9783396221986186
redundant36,17,uniform_half_2,N_x_original_shape,17-32:compact,1682,21,True,0.9780023781212842,0.973183726847513
redundant36,17,uniform_half_2,N_x_original_shape,33-64:elongated,5882,20,True,0.999829989799388,0.9993126348626877
redundant36,17,uniform_half_2,N_x_original_shape,33-64:intermediate,2658,22,True,0.9834462001504891,0.9802590668327611
redundant36,17,uniform_half_2,N_x_original_shape,33-64:compact,302,14,True,0.9900662251655629,0.9890742013675338
redundant36,17,uniform_half_2,N_x_original_shape,65-511:elongated,392,12,True,1.0,1.0
redundant36,17,uniform_half_2,N_x_original_shape,65-511:intermediate,173,12,True,1.0,1.0
redundant36,17,uniform_half_2,N_x_original_shape,65-511:compact,4,3,False,0.75,
redundant36,17,uniform_half_2,history,none,1846,27,True,0.9117009750812568,0.8995947391164345
redundant36,17,uniform_half_2,history,one_to_five,8062,27,True,0.949020094269412,0.9383421443976208
redundant36,17,uniform_half_2,history,six,70542,27,True,0.9862067987865385,0.9856025934842221
redundant36,17,uniform_half_2,current_points,1,0,0,False,,
redundant36,17,uniform_half_2,current_points,2,0,0,False,,
redundant36,17,uniform_half_2,current_points,ge3,80450,27,True,0.9807706650093225,0.9797035285946567
redundant36,17,uniform_half_2,current_range,le20,26404,27,True,0.9829571277079231,0.9824241426868148
redundant36,17,uniform_half_2,current_range,20to40,36863,27,True,0.9836150069175054,0.9830810045252516
redundant36,17,uniform_half_2,current_range,gt40,17183,27,True,0.9713088517721004,0.9649899701192513
redundant36,17,uniform_quarter_0,retained_N,1-2,3181,27,True,0.8968877711411506,0.8876309719820549
redundant36,17,uniform_quarter_0,retained_N,3-4,3392,27,True,0.9245283018867925,0.9169604386995691
redundant36,17,uniform_quarter_0,retained_N,5-8,37944,27,True,0.9741197554290534,0.9740463455313444
redundant36,17,uniform_quarter_0,retained_N,9-16,26522,27,True,0.9798657718120806,0.9783237071718544
redundant36,17,uniform_quarter_0,retained_N,17-32,8842,23,True,0.9875593757068537,0.975586908667398
redundant36,17,uniform_quarter_0,retained_N,33-64,538,14,True,1.0,1.0
redundant36,17,uniform_quarter_0,retained_N,65-511,31,3,False,1.0,
redundant36,17,uniform_quarter_0,original_shape,compact,4336,26,True,0.9665590405904059,0.9567247806314898
redundant36,17,uniform_quarter_0,original_shape,elongated,45116,27,True,0.9783668764961433,0.9703440146126048
redundant36,17,uniform_quarter_0,original_shape,intermediate,30998,27,True,0.9648687012065295,0.9643733856509604
redundant36,17,uniform_quarter_0,N_x_original_shape,1-2:elongated,2013,27,True,0.9011425732737208,0.8931045386681397
redundant36,17,uniform_quarter_0,N_x_original_shape,1-2:intermediate,1052,27,True,0.8906844106463878,0.8783483613027525
redundant36,17,uniform_quarter_0,N_x_original_shape,1-2:compact,116,19,True,0.8793103448275862,0.8729264475743349
redundant36,17,uniform_quarter_0,N_x_original_shape,3-4:elongated,2275,26,True,0.9375824175824176,0.927033925102769
redundant36,17,uniform_quarter_0,N_x_original_shape,3-4:intermediate,996,27,True,0.9016064257028112,0.8987951807228916
redundant36,17,uniform_quarter_0,N_x_original_shape,3-4:compact,121,18,True,0.8677685950413223,0.8673245614035088
redundant36,17,uniform_quarter_0,N_x_original_shape,5-8:elongated,19967,27,True,0.9760104171883608,0.9726466220082114
redundant36,17,uniform_quarter_0,N_x_original_shape,5-8:intermediate,15866,27,True,0.971385352325728,0.9698826633873259
redundant36,17,uniform_quarter_0,N_x_original_shape,5-8:compact,2111,22,True,0.9767882520132638,0.9565878674003376
redundant36,17,uniform_quarter_0,N_x_original_shape,9-16:elongated,14587,26,True,0.990196750531295,0.982772321287985
redundant36,17,uniform_quarter_0,N_x_original_shape,9-16:intermediate,10253,25,True,0.9679118306837023,0.9669353264451312
redundant36,17,uniform_quarter_0,N_x_original_shape,9-16:compact,1682,21,True,0.9631391200951248,0.9542919557278381
redundant36,17,uniform_quarter_0,N_x_original_shape,17-32:elongated,5882,20,True,0.9977898673920436,0.9911901906564591
redundant36,17,uniform_quarter_0,N_x_original_shape,17-32:intermediate,2658,22,True,0.9650112866817155,0.9590930957497985
redundant36,17,uniform_quarter_0,N_x_original_shape,17-32:compact,302,14,True,0.9867549668874173,0.9854639969195225
redundant36,17,uniform_quarter_0,N_x_original_shape,33-64:elongated,361,12,True,1.0,1.0
redundant36,17,uniform_quarter_0,N_x_original_shape,33-64:intermediate,173,12,True,1.0,1.0
redundant36,17,uniform_quarter_0,N_x_original_shape,33-64:compact,4,3,False,1.0,
redundant36,17,uniform_quarter_0,N_x_original_shape,65-511:elongated,31,3,False,1.0,
redundant36,17,uniform_quarter_0,N_x_original_shape,65-511:intermediate,0,0,False,,
redundant36,17,uniform_quarter_0,N_x_original_shape,65-511:compact,0,0,False,,
