tag,seed,condition,samples,accuracy,macro_f1,recall_class0,f1_class0,precision_class0,true0_pred0,true0_pred1,recall_class1,f1_class1,precision_class1,true1_pred0,true1_pred1
support24,17,xy_fraction6,80450,0.9852206339341206,0.9843880060583265,0.9932562935803844,0.9807825960466131,0.9686183118375686,30341,206,0.9803017854637998,0.9879934160700401,0.9958067011358548,983,48920
support24,17,xy_fraction4,80450,0.985183343691734,0.9843487099050665,0.9932235571414542,0.9807344194465994,0.9685554668794892,30340,207,0.9802617077129632,0.9879630003635336,0.9957862595419847,985,48918
support24,17,kept_single,80450,0.9661901802361715,0.9644275729033845,0.9791796248404099,0.9565092258002622,0.9348648226285358,29911,636,0.9582389836282388,0.9723459200065069,0.9868744195645445,2084,47819
support24,17,sparse_single,97734,0.9526060531647124,0.9523278581851996,0.9809598127194694,0.9559695817490494,0.932220986281053,50284,976,0.9213323578775229,0.9486861346213498,0.9777138420788236,3656,42818
support24,17,sparse_context,97734,0.9680561524136944,0.9679164155587205,0.9857783847054233,0.9700337863779467,0.9547842188799033,50531,729,0.9485088436545165,0.9657990447394943,0.9837313099754519,2393,44081
support24,37,clean,80450,0.9863020509633312,0.9854778325533968,0.985072183847841,0.9820181450296978,0.9789829846764486,30091,456,0.9870548864797708,0.988937520077096,0.9908273489831634,646,49257
support24,37,uniform_half_0,80450,0.9813424487259167,0.9802214203081799,0.9787540511343176,0.9755126678303996,0.9722926829268292,29898,649,0.9829268781435986,0.9849301727859603,0.9869416498993964,852,49051
support24,37,uniform_half_1,80450,0.9808825357364823,0.9797215011046211,0.976560709725996,0.9748692810457517,0.9731837014321599,29831,716,0.9835280444061479,0.9845737211634905,0.985621623792598,822,49081
support24,37,uniform_half_2,80450,0.981255438160348,0.9801190567735079,0.97731364782139,0.9753659174072138,0.9734259349832078,29854,693,0.9836683165340762,0.9848721961398018,0.986079026134469,815,49088
support24,37,uniform_quarter_0,80450,0.9736109384711,0.9720953521848024,0.9751857792909288,0.9655921297871995,0.9561854015535726,29789,758,0.9726469350540048,0.9785985745824051,0.9846234988640052,1365,48538
support24,37,uniform_quarter_1,80450,0.9741951522684897,0.9726971879312964,0.9744001047566045,0.9663019835730287,0.9583373579316784,29765,782,0.9740696952087049,0.9790923922895644,0.9841671559595878,1294,48609
support24,37,uniform_quarter_2,80450,0.9737725295214419,0.9722544734884067,0.9742691590008838,0.9657645379023884,0.9574071095383625,29761,786,0.9734685289461555,0.9787444090744248,0.9840777879064114,1324,48579
support24,37,central_half,80450,0.9779987569919204,0.9768382430363415,0.9930926113857335,0.9716536946286154,0.9511208653393949,30336,211,0.9687593932228523,0.9820227914440676,0.9956544125218824,1559,48344
support24,37,xy_fraction6,80450,0.9863020509633312,0.9854780149087844,0.9851049202867712,0.982018731847404,0.9789518201633105,30092,455,0.9870348476043524,0.9889372979701648,0.9908470962161292,647,49256
support24,37,xy_fraction4,80450,0.9863890615288999,0.985569988018784,0.9851703931646315,0.98213207577958,0.9791124414367517,30094,453,0.987135041981444,0.9890079002579881,0.9908878786659694,642,49261
support24,37,kept_single,80450,0.9667246737103791,0.9647941345281421,0.964644645955413,0.9565499667267209,0.9485900077259851,29467,1080,0.9679979159569565,0.9730383023295632,0.9781314542582918,1597,48306
support24,37,sparse_single,97734,0.9510405795321997,0.9508332231590598,0.9685524775653531,0.9540261911395932,0.9399291948278147,49648,1612,0.9317252657399836,0.9476402551785265,0.9641083873266092,3173,43301
support24,37,sparse_context,97734,0.9665929973192543,0.9664892130823223,0.974522044479126,0.968354123656383,0.9622637874906093,49954,1306,0.9578473985454232,0.9646243025082616,0.971497784858471,1959,44515
width28,7,clean,80450,0.9868241143567433,0.9860633740638822,0.9918158902674568,0.9828072793330522,0.9739608448259234,30297,250,0.9837685109111677,0.9893194687947121,0.9949334252072229,810,49093
width28,7,uniform_half_0,80450,0.9808701056556868,0.9797803323818255,0.9859233312600255,0.9750862027099219,0.9644847242682381,30117,430,0.9777768871610926,0.984474462053729,0.9912644238582805,1109,48794
width28,7,uniform_half_1,80450,0.9805096333126165,0.9793974390362905,0.9852031296035617,0.9746105767673824,0.9642433757329146,30095,452,0.9776366150331643,0.9841843013051986,0.9908202847336461,1116,48787
width28,7,uniform_half_2,80450,0.9810814170292107,0.9800045352158235,0.9863161685271876,0.9753641955325348,0.9646527711074825,30129,418,0.9778770815381841,0.9846448748991122,0.9915069996139545,1104,48799
width28,7,uniform_quarter_0,80450,0.9726413921690491,0.9711733640542084,0.9836317805349134,0.9646681114054098,0.9464218218470455,30047,500,0.9659138729134521,0.9776786167030069,0.9897334811712045,1701,48202
width28,7,uniform_quarter_1,80450,0.9724673710379117,0.9709869166124716,0.9831079975120306,0.9644330972911348,0.9464544595020485,30031,516,0.9659539506642887,0.9775407359338085,0.9894088669950739,1699,48204
width28,7,uniform_quarter_2,80450,0.9721939092604102,0.9707063687152457,0.9834680983402625,0.9641051972850243,0.945490023289482,30042,505,0.9652926677754844,0.9773075401454671,0.989625277344071,1732,48171
width28,7,central_half,80450,0.9743816034804226,0.9730967928954881,0.9953186892329853,0.9672175475989756,0.9406596126477322,30404,143,0.9615654369476785,0.9789760381920005,0.9970287566489362,1918,47985
width28,7,xy_fraction6,80450,0.9868986948415165,0.986142090342512,0.991881363145317,0.9829040420424318,0.9740877672399936,30299,248,0.983848666412841,0.9893801386425923,0.9949741615158577,806,49097
width28,7,xy_fraction4,80450,0.986911124922312,0.9861541319300458,0.991684944511736,0.9829166599068772,0.974302071272353,30293,254,0.9839889385407691,0.9893916039532142,0.9948539243891568,799,49104
width28,7,kept_single,80450,0.966674953387197,0.9648971344322281,0.9765934461649262,0.9569973534365226,0.9381722120888106,29832,715,0.9606035709275995,0.9727969154279337,0.9853037901833429,1966,47937
width28,7,sparse_single,97734,0.953117645855076,0.9528745157696652,0.9770971517752634,0.9562594268476622,0.936291920589225,50086,1174,0.9266686749580411,0.9494896046916683,0.9734629294755877,3408,43066
width28,7,sparse_context,97734,0.9685575132502506,0.9684185523145117,0.9865782286383145,0.9705134479019738,0.9549634609211247,50572,688,0.9486809829151783,0.9663236567270496,0.9846349688456127,2385,44089
width28,17,clean,80450,0.986674953387197,0.9859121654165015,0.9928634563132223,0.9826340515146607,0.9726132828784915,30329,218,0.982886800392762,0.9891902793183422,0.9955751314267156,854,49049
width28,17,uniform_half_0,80450,0.9818893722809199,0.9808716211260775,0.989229711591973,0.9764593734347987,0.9640145473106616,30218,329,0.9773961485281446,0.9852838688173563,0.9932999348321929,1128,48775
width28,17,uniform_half_1,80450,0.9817899316345556,0.9807628606784202,0.9885749828133695,0.9763178739431952,0.9643609886951523,30198,349,0.9776366150331643,0.9852078474136451,0.9928972647346141,1116,48787
