tag,reference,condition,seed,delta,low,high
proxy_synthetic,A,uniform_half_1,17,0.0035470690898177226,-1.990405342238887e-07,0.007862069549163173
proxy_synthetic,A,uniform_half_1,37,0.004779546396521894,0.0022941129426974293,0.009819504595134658
proxy_synthetic,A,uniform_half_1,mean3,0.0036253434855322655,0.001977742475617771,0.006159743835031905
proxy_synthetic,A,uniform_half_2,7,0.0014258243245059976,-0.0015839017744948974,0.004520049698734185
proxy_synthetic,A,uniform_half_2,17,0.003164052680013185,-0.0006134678485309547,0.00742723547663895
proxy_synthetic,A,uniform_half_2,37,0.0037574495586003565,0.0012940169843348448,0.00870554405051677
proxy_synthetic,A,uniform_half_2,mean3,0.002782442187706513,0.0009673139679824453,0.005214756193870848
proxy_synthetic,A,uniform_quarter_0,7,0.0093726125024165,0.004586667310957138,0.016278449070616628
proxy_synthetic,A,uniform_quarter_0,17,0.013497232917652924,0.008040027742857822,0.021972925534827922
proxy_synthetic,A,uniform_quarter_0,37,0.014498512364912508,0.011688637129522669,0.021285397986959487
proxy_synthetic,A,uniform_quarter_0,mean3,0.012456119261660644,0.009256184902102197,0.01883110095128671
proxy_synthetic,A,uniform_quarter_1,7,0.00877266236935259,0.004336102616841397,0.01516096763654066
proxy_synthetic,A,uniform_quarter_1,17,0.014047929936343961,0.009219317657589054,0.02235654841844568
proxy_synthetic,A,uniform_quarter_1,37,0.014482260433023919,0.01167560156294171,0.020930931727685655
proxy_synthetic,A,uniform_quarter_1,mean3,0.012434284246240157,0.009508411181555609,0.018466328923331377
proxy_synthetic,A,uniform_quarter_2,7,0.008697251033244258,0.003984969720237127,0.015399253576669544
proxy_synthetic,A,uniform_quarter_2,17,0.013472103690289061,0.007542632464854005,0.022136513913311565
proxy_synthetic,A,uniform_quarter_2,37,0.01435891810532075,0.011678049638724495,0.02091606155170927
proxy_synthetic,A,uniform_quarter_2,mean3,0.012176090942951356,0.008995601452613057,0.0185163746591495
proxy_synthetic,A,central_half,7,0.01135968779209473,0.0055993378037100415,0.022039735312931838
proxy_synthetic,A,central_half,17,0.012473982823923535,0.007219745427018598,0.023434399522850948
proxy_synthetic,A,central_half,37,0.0167742020282885,0.009115170369363296,0.032713887606119985
proxy_synthetic,A,central_half,mean3,0.013535957548102254,0.007647514588097655,0.02582007548871539
proxy_synthetic,A,xy_fraction6,7,0.00023506190689681628,-0.0019418343231271257,0.0029873693197699
proxy_synthetic,A,xy_fraction6,17,-0.00018302284338811425,-0.0036322819473609933,0.0030863886242299804
proxy_synthetic,A,xy_fraction6,37,0.001545099245853998,-0.0010005170203195746,0.006064812274150239
proxy_synthetic,A,xy_fraction6,mean3,0.0005323794364542334,-0.0010339340049604258,0.0026500540448363796
proxy_synthetic,A,xy_fraction4,7,2.6832484916194943e-05,-0.002273343525087887,0.0026528690828119335
proxy_synthetic,A,xy_fraction4,17,-0.0002629757305177005,-0.0037960052564869643,0.0029702722319815363
proxy_synthetic,A,xy_fraction4,37,0.0014133542813921096,-0.0011294579611799526,0.005838159887046043
proxy_synthetic,A,xy_fraction4,mean3,0.00039240367859686803,-0.0012273364099564838,0.002490799670680334
proxy_synthetic,A,kept_single,7,0.010792811909440148,0.000577791193531757,0.022506543869263443
proxy_synthetic,A,kept_single,17,0.014222345724127283,0.0026358877703929447,0.028112689871127174
proxy_synthetic,A,kept_single,37,0.015944047928216243,0.008870674604516519,0.026977083735343268
proxy_synthetic,A,kept_single,mean3,0.013653068520594558,0.004391991427903109,0.02576898157880089
proxy_synthetic,A,sparse_single,7,0.032543914451354405,0.02329572444594298,0.04906945374353082
proxy_synthetic,A,sparse_single,17,0.030696260299150846,0.009600433494831879,0.05876666351130473
proxy_synthetic,A,sparse_single,37,0.038183152048368196,0.012663904167931946,0.06887466726862813
proxy_synthetic,A,sparse_single,mean3,0.03380777559962448,0.016919497311460554,0.05859649598611019
proxy_synthetic,A,sparse_context,7,0.013306223931582872,0.006762943277799508,0.0241853448250896
proxy_synthetic,A,sparse_context,17,0.021158642343583445,0.011472309923096422,0.036281134297090754
proxy_synthetic,A,sparse_context,37,0.022065274587438122,0.007607011771626718,0.04075925985520035
proxy_synthetic,A,sparse_context,mean3,0.018843380287534812,0.009625612476052304,0.033251900455396874
proxy_synthetic,A,composite,7,0.013283871637661537,0.009790498831386968,0.019743085729629458
proxy_synthetic,A,composite,17,0.015568967445701465,0.009935947760710866,0.02489372496462809
proxy_synthetic,A,composite,37,0.018592288775018173,0.0101988830312266,0.03176461351144422
proxy_synthetic,A,composite,mean3,0.01581504261946039,0.010393969784340304,0.02532722527762598
proxy_synthetic,B,clean,7,0.0006226688044693729,-0.005507421923845851,0.005377389782173606
proxy_synthetic,B,clean,17,-0.0009748085035538034,-0.0036045955681110993,0.0006226582421562986
proxy_synthetic,B,clean,37,0.000958403515668449,-0.0005652886217878711,0.003144797559813034
proxy_synthetic,B,clean,mean3,0.00020208793886133947,-0.0022712682458168303,0.0019326823806131417
proxy_synthetic,B,uniform_half_0,7,0.000964171596285146,-0.00613863530665342,0.006813679158012305
proxy_synthetic,B,uniform_half_0,17,6.508375458436078e-05,-0.00343284886941016,0.00298459108426111
proxy_synthetic,B,uniform_half_0,37,0.00026612943290083013,-0.0013071562735252535,0.0025578475018354723
proxy_synthetic,B,uniform_half_0,mean3,0.00043179492792344565,-0.0024355779476275827,0.0030588396725485037
proxy_synthetic,B,uniform_half_1,7,0.0007681649042727834,-0.0063063025431107506,0.006687052858780613
proxy_synthetic,B,uniform_half_1,17,0.0005473089261649466,-0.002558974963788277,0.0031892994516567338
proxy_synthetic,B,uniform_half_1,37,0.0010673072411681028,-0.0006422865182528964,0.0035308490098760518
proxy_synthetic,B,uniform_half_1,mean3,0.0007942603572019443,-0.0018998193925079399,0.003256074978193286
proxy_synthetic,B,uniform_half_2,7,0.0005373719678776201,-0.006310398424985164,0.006205566806326025
proxy_synthetic,B,uniform_half_2,17,0.00017076367485535648,-0.0031623436857071306,0.0026589456257044724
proxy_synthetic,B,uniform_half_2,37,0.0006339173750272709,-0.0008544062590153001,0.0029487710018646753
