tag,seed,condition,samples,accuracy,macro_f1,class0_f1,class1_f1,class0_recall,class1_recall,true0_pred0,true0_pred1,true1_pred0,true1_pred1
mean_synthetic,17,xy_fraction6,80450,0.9837787445618397,0.9828458579234757,0.9788454991975879,0.9868462166493635,0.9883785641797885,0.980963068352604,30192,355,950,48953
mean_synthetic,17,xy_fraction4,80450,0.9836544437538844,0.9827148324025808,0.9786847778516201,0.9867448869535416,0.988280354862998,0.9808227962246758,30189,358,957,48946
mean_synthetic,17,kept_single,80450,0.9702672467371037,0.9686974464025337,0.9616875420443989,0.9757073507606686,0.9827806331227289,0.9626074584694307,30021,526,1866,48037
mean_synthetic,17,sparse_single,97734,0.9412384635848323,0.9411220937086537,0.9437396526219889,0.9385045347953185,0.9396800624268435,0.942957352498171,48168,3092,2651,43823
mean_synthetic,17,sparse_context,97734,0.9633904270775779,0.9632752204573194,0.9653321447949771,0.9612182961196618,0.971810378462739,0.9541033696260275,49815,1445,2133,44341
mean_synthetic,37,clean,80450,0.9829956494717216,0.9819761002299019,0.9776893469893666,0.9862628534704371,0.9812420204930108,0.9840690940424424,29974,573,795,49108
mean_synthetic,37,uniform_half_0,80450,0.9790926041019267,0.9778390355165898,0.9725683345293235,0.983109736503856,0.9761023995809736,0.9809229906017675,29817,730,952,48951
mean_synthetic,37,uniform_half_1,80450,0.9787694220012431,0.9774987313877881,0.972151568512359,0.9828458942632171,0.9759387173863228,0.9805021742179829,29812,735,973,48930
mean_synthetic,37,uniform_half_2,80450,0.978744561839652,0.9774729474349301,0.9721207773575062,0.9828251175123539,0.9759714538252529,0.980442057591728,29813,734,976,48927
mean_synthetic,37,uniform_quarter_0,80450,0.9706898694841517,0.9689607813542515,0.9616348312778628,0.9762867314306402,0.9674272432644777,0.9726870128048414,29552,995,1363,48540
mean_synthetic,37,uniform_quarter_1,80450,0.9717961466749534,0.970117994812922,0.9630365724525536,0.9771994171732905,0.9676236618980587,0.9743502394645612,29558,989,1280,48623
mean_synthetic,37,uniform_quarter_2,80450,0.9719453076444997,0.9702971036349028,0.9633002162636791,0.9772939910061267,0.9696860575506596,0.9733282568182273,29621,926,1331,48572
mean_synthetic,37,central_half,80450,0.9706898694841517,0.9692449009852511,0.9625785564654351,0.975911245505067,0.9927979834353619,0.9571568843556499,30327,220,2138,47765
mean_synthetic,37,xy_fraction6,80450,0.9830205096333127,0.9820013226557291,0.9777183309953349,0.9862843143161235,0.9811110747372901,0.9841893272949522,29970,577,789,49114
mean_synthetic,37,xy_fraction4,80450,0.9829210689869484,0.981896821114195,0.9775907623055093,0.9862028799228807,0.9811110747372901,0.9840290162916057,29970,577,797,49106
mean_synthetic,37,kept_single,80450,0.9680422622747048,0.966166433460496,0.9581998796884907,0.9741329872325013,0.9646773823943432,0.9701019978758793,29468,1079,1492,48411
mean_synthetic,37,sparse_single,97734,0.9324902285796141,0.9324442398515096,0.9342068525387899,0.9306816271642293,0.9138314475224346,0.9530705340620562,46843,4417,2181,44293
mean_synthetic,37,sparse_context,97734,0.960842695479567,0.96077069669422,0.9624513103285878,0.9590900830598522,0.9568279360124854,0.9652709041614667,49047,2213,1614,44860
mean_natural,7,clean,80450,0.9833064014916097,0.9823599312337672,0.9782738817439133,0.9864459807236211,0.9898189674927161,0.9793198805683025,30236,311,1032,48871
mean_natural,7,uniform_half_0,80450,0.978533250466128,0.977343311031788,0.972151000596649,0.9825356214669269,0.98677447867221,0.9734885678215739,30143,404,1323,48580
